Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Daniel_Login_Edge,Edge Chromium 147.0.3912.72,,,20-04-2026 17:50:43,20-04-2026 17:54:06,3m - 22.597s,FAILED
,,,,,,,
Test Cases/TC_Login_001,Edge Chromium 147.0.3912.72,Verify user can log in successfully with valid username and password,,20-04-2026 17:50:43,20-04-2026 17:50:52,8.893s,PASSED
"openBrowser(""https://www.demoblaze.com"")",Edge Chromium 147.0.3912.72,,,20-04-2026 17:50:44,20-04-2026 17:50:48,4.031s,PASSED
"click(findTestObject(""Page_STORE/Page_STORE/btn_Login""))",Edge Chromium 147.0.3912.72,,,20-04-2026 17:50:48,20-04-2026 17:50:49,1.085s,PASSED
"setText(findTestObject(""Page_STORE/Page_STORE/txt_LoginUsername""), ""Coober"")",Edge Chromium 147.0.3912.72,,,20-04-2026 17:50:49,20-04-2026 17:50:50,0.946s,PASSED
"setText(findTestObject(""Page_STORE/Page_STORE/txt_LoginPassword""), ""123"")",Edge Chromium 147.0.3912.72,,,20-04-2026 17:50:50,20-04-2026 17:50:51,0.700s,PASSED
"click(findTestObject(""Page_STORE/Page_STORE/btn_SubmitLogin""))",Edge Chromium 147.0.3912.72,,,20-04-2026 17:50:51,20-04-2026 17:50:51,0.353s,PASSED
"verifyElementPresent(findTestObject(""Page_STORE/Page_STORE/lbl_WelcomeUser""), 0)",Edge Chromium 147.0.3912.72,,,20-04-2026 17:50:51,20-04-2026 17:50:52,1.115s,PASSED
closeBrowser(),Edge Chromium 147.0.3912.72,,,20-04-2026 17:50:52,20-04-2026 17:50:52,0.232s,PASSED
,,,,,,,
Test Cases/TC_Login_002,Edge Chromium 147.0.3912.72,Verify error message appears when logging in with incorrect password,,20-04-2026 17:51:36,20-04-2026 17:51:51,14.637s,FAILED
"openBrowser(""https://www.demoblaze.com"")",Edge Chromium 147.0.3912.72,,,20-04-2026 17:51:36,20-04-2026 17:51:38,1.585s,PASSED
"click(findTestObject(""Page_STORE/Page_STORE/btn_Login""))",Edge Chromium 147.0.3912.72,,,20-04-2026 17:51:38,20-04-2026 17:51:39,1.110s,PASSED
"setText(findTestObject(""Page_STORE/Page_STORE/txt_LoginUsername""), ""Coober"")",Edge Chromium 147.0.3912.72,,,20-04-2026 17:51:39,20-04-2026 17:51:40,0.894s,PASSED
"setText(findTestObject(""Page_STORE/Page_STORE/txt_LoginPassword""), ""wrongpassword"")",Edge Chromium 147.0.3912.72,,,20-04-2026 17:51:40,20-04-2026 17:51:40,0.638s,PASSED
"click(findTestObject(""Page_STORE/Page_STORE/btn_SubmitLogin""))",Edge Chromium 147.0.3912.72,,,20-04-2026 17:51:40,20-04-2026 17:51:41,0.374s,PASSED
"verifyElementPresent(findTestObject(""Page_STORE/Page_STORE/lbl_WelcomeUser""), 0)",Edge Chromium 147.0.3912.72,,,20-04-2026 17:51:41,20-04-2026 17:51:51,10.019s,FAILED
,,,,,,,
Test Cases/TC_Login_003,Edge Chromium 147.0.3912.72,Verify error message appears when logging in with non-existent username,,20-04-2026 17:52:34,20-04-2026 17:52:49,14.520s,FAILED
"openBrowser(""https://www.demoblaze.com"")",Edge Chromium 147.0.3912.72,,,20-04-2026 17:52:34,20-04-2026 17:52:36,1.545s,PASSED
"click(findTestObject(""Page_STORE/Page_STORE/btn_Login""))",Edge Chromium 147.0.3912.72,,,20-04-2026 17:52:36,20-04-2026 17:52:37,1.013s,PASSED
"setText(findTestObject(""Page_STORE/Page_STORE/txt_LoginUsername""), ""FakeCoober"")",Edge Chromium 147.0.3912.72,,,20-04-2026 17:52:37,20-04-2026 17:52:38,0.898s,PASSED
